,RaceId,DriverId,ConstructorId,GridNumber,QualifyingPosition,CircuitId,TotalDriverPoints,DriverPosition
0,1,1,1,18,15,1,0,\N
1,1,2,2,9,11,1,0,10
2,1,3,3,5,5,1,3,6
3,1,4,4,10,12,1,4,5
4,1,5,1,12,14,1,0,\N
5,1,6,3,11,13,1,0,\N
6,1,7,5,17,20,1,1,8
7,1,8,6,7,9,1,0,15
8,1,9,2,4,4,1,0,14
9,1,10,7,19,6,1,5,4
10,1,12,4,14,17,1,0,\N
11,1,13,6,6,7,1,0,\N
12,1,15,7,20,8,1,6,3
13,1,16,10,16,19,1,0,9
14,1,17,9,8,10,1,0,12
15,1,18,23,1,1,1,10,1
16,1,20,9,3,3,1,0,13
17,1,21,10,15,18,1,0,11
18,1,22,23,2,2,1,8,2
19,1,67,5,13,16,1,2,7
20,2,1,1,12,13,2,1,7
21,2,2,2,10,11,2,4,2
22,2,3,3,4,6,2,3,8
23,2,4,4,9,10,2,4,11
24,2,5,1,14,14,2,0,\N
25,2,6,3,11,12,2,0,12
26,2,7,5,15,15,2,1,10
27,2,8,6,7,9,2,0,14
28,2,9,2,6,8,2,0,\N
29,2,10,7,3,5,2,8,3
30,2,12,4,17,17,2,0,13
31,2,13,6,16,16,2,0,9
32,2,15,7,2,2,2,8,4
33,2,16,10,19,19,2,0,17
34,2,17,9,5,7,2,1,6
35,2,18,23,1,1,2,15,1
36,2,20,9,13,3,2,0,15
37,2,21,10,18,18,2,0,18
38,2,22,23,8,4,2,10,5
39,2,67,5,20,20,2,2,16
40,3,1,1,9,9,17,4,6
41,3,2,2,11,11,17,4,12
42,3,3,3,7,7,17,3,15
43,3,4,4,2,2,17,4,9
44,3,5,1,12,12,17,4,5
45,3,6,3,14,15,17,0,\N
46,3,7,5,15,16,17,1,11
47,3,8,6,8,8,17,0,10
48,3,9,2,17,18,17,0,13
49,3,10,7,19,14,17,10,7
50,3,12,4,16,17,17,0,16
51,3,13,6,13,13,17,0,\N
52,3,15,7,6,6,17,8,\N
53,3,16,10,18,19,17,0,17
54,3,17,9,3,3,17,9,2
55,3,18,23,5,5,17,21,3
56,3,20,9,1,1,17,10,1
57,3,21,10,20,20,17,0,14
58,3,22,23,4,4,17,15,4
59,3,67,5,10,10,17,3,8
60,4,1,1,5,5,3,9,4
61,4,2,2,14,14,3,4,19
62,4,3,3,9,9,3,3,9
63,4,4,4,7,7,3,5,8
64,4,5,1,11,11,3,4,12
65,4,6,3,12,12,3,0,\N
66,4,7,5,20,20,3,1,13
67,4,8,6,10,10,3,3,6
68,4,9,2,13,13,3,0,18
69,4,10,7,2,2,3,12,7
70,4,12,4,15,15,3,0,10
71,4,13,6,8,8,3,0,14
72,4,15,7,1,1,3,14,3
73,4,16,10,19,16,3,0,16
74,4,17,9,18,19,3,9,11
75,4,18,23,4,4,3,31,1
76,4,20,9,3,3,3,18,2
77,4,21,10,17,18,3,0,15
78,4,22,23,6,6,3,19,5
79,4,67,5,16,17,3,3,17
80,5,1,1,14,14,4,9,9
81,5,2,2,13,13,4,6,7
82,5,3,3,9,9,4,4,8
83,5,4,4,8,8,4,9,5
84,5,5,1,18,18,4,4,\N
85,5,6,3,11,11,4,0,13
86,5,7,5,17,17,4,1,\N
87,5,8,6,16,16,4,3,\N
88,5,9,2,10,10,4,0,11
89,5,10,7,6,6,4,12,10
90,5,12,4,12,12,4,0,12
91,5,13,6,4,4,4,3,6
92,5,15,7,7,7,4,14,\N
93,5,16,10,19,19,4,0,\N
94,5,17,9,5,5,4,15,3
95,5,18,23,1,1,4,41,1
96,5,20,9,2,2,4,23,4
97,5,21,10,20,20,4,0,14
98,5,22,23,3,3,4,27,2
99,5,67,5,15,15,4,3,\N
100,6,1,1,19,16,6,9,12
101,6,2,2,16,17,6,6,11
102,6,3,3,6,6,6,7,6
103,6,4,4,9,9,6,11,7
104,6,5,1,7,7,6,4,\N
105,6,6,3,10,10,6,0,15
106,6,7,5,14,14,6,2,8
107,6,8,6,2,2,6,9,3
108,6,9,2,17,18,6,0,\N
109,6,10,7,20,20,6,12,10
110,6,12,4,12,12,6,0,\N
111,6,13,6,5,5,6,8,4
112,6,15,7,18,19,6,14,13
113,6,16,10,15,15,6,0,14
114,6,17,9,8,8,6,19,5
115,6,18,23,1,1,6,51,1
116,6,20,9,4,4,6,23,\N
117,6,21,10,13,13,6,0,9
118,6,22,23,3,3,6,35,2
119,6,67,5,11,11,6,3,\N
120,7,1,1,16,16,5,9,13
121,7,2,2,11,11,5,6,11
122,7,3,3,9,9,5,11,5
123,7,4,4,8,8,5,11,10
124,7,5,1,14,14,5,4,14
125,7,6,3,12,12,5,0,12
126,7,7,5,20,20,5,2,18
127,7,8,6,6,6,5,9,9
128,7,9,2,10,10,5,2,7
129,7,10,7,13,13,5,13,8
130,7,12,4,17,17,5,0,16
131,7,13,6,7,7,5,11,6
132,7,15,7,5,5,5,19,4
133,7,16,10,15,15,5,0,17
134,7,17,9,4,4,5,27,2
135,7,18,23,2,2,5,61,1
136,7,20,9,1,1,5,29,3
137,7,21,10,19,19,5,0,\N
138,7,22,23,3,3,5,35,\N
139,7,67,5,18,18,5,3,15
140,8,1,1,18,19,9,9,16
141,8,2,2,15,15,9,6,15
142,8,3,3,7,7,9,15,5
143,8,4,4,10,10,9,11,14
144,8,5,1,13,13,9,4,\N
145,8,6,3,5,5,9,0,11
146,8,7,5,17,17,9,2,\N
147,8,8,6,9,9,9,10,8
148,8,9,2,12,12,9,2,13
149,8,10,7,8,8,9,13,9
150,8,12,4,14,14,9,0,12
151,8,13,6,11,11,9,16,4
152,8,15,7,4,4,9,21,7
153,8,16,10,20,18,9,0,17
154,8,17,9,3,3,9,35,2
155,8,18,23,6,6,9,64,6
156,8,20,9,1,1,9,39,1
157,8,21,10,16,16,9,0,10
158,8,22,23,2,2,9,41,3
159,8,67,5,19,20,9,3,18
160,9,1,1,5,5,20,9,18
161,9,2,2,11,11,20,6,10
162,9,3,3,15,15,20,20,4
163,9,4,4,12,12,20,13,7
164,9,5,1,6,6,20,5,8
165,9,6,3,13,13,20,0,12
166,9,7,5,19,20,20,2,\N
167,9,8,6,9,9,20,10,\N
168,9,9,2,16,16,20,2,14
169,9,10,7,20,19,20,13,9
170,9,12,4,10,10,20,0,13
171,9,13,6,8,8,20,22,3
172,9,15,7,14,14,20,21,17
173,9,16,10,7,7,20,0,15
174,9,17,9,1,1,20,45,1
175,9,18,23,3,3,20,68,5
176,9,20,9,4,4,20,47,2
177,9,21,10,18,18,20,0,11
178,9,22,23,2,2,20,44,6
179,9,67,5,17,17,20,3,16
180,10,1,1,4,4,11,19,1
181,10,2,2,15,16,11,6,11
182,10,3,3,5,5,11,25,4
183,10,4,4,1,1,11,13,\N
184,10,5,1,6,6,11,9,5
185,10,6,3,9,9,11,0,9
186,10,8,6,7,7,11,18,2
187,10,9,2,18,19,11,2,13
188,10,10,7,13,14,11,16,6
189,10,12,4,14,15,11,0,12
190,10,13,6,0,10,11,22,\N
191,10,15,7,11,12,11,22,8
192,10,16,10,17,18,11,0,\N
193,10,17,9,3,3,11,51,3
194,10,18,23,8,8,11,70,7
195,10,20,9,2,2,11,47,\N
196,10,21,10,16,17,11,0,14
197,10,22,23,12,13,11,44,10
198,10,67,5,10,11,11,3,16
199,10,153,5,19,20,11,0,15
200,11,1,1,1,1,12,27,2
201,11,2,2,11,11,12,6,11
202,11,3,3,7,7,12,29,5
203,11,4,4,8,8,12,16,6
204,11,5,1,2,2,12,14,4
205,11,6,3,17,17,12,0,18
206,11,8,6,6,6,12,24,3
207,11,9,2,10,10,12,3,8
208,11,10,7,13,13,12,16,14
209,11,15,7,18,18,12,22,13
210,11,16,10,12,12,12,0,10
211,11,17,9,9,9,12,51,9
212,11,18,23,5,5,12,72,7
213,11,20,9,4,4,12,47,\N
214,11,21,10,16,16,12,0,12
215,11,22,23,3,3,12,54,1
216,11,67,5,15,15,12,3,\N
217,11,69,6,20,20,12,0,17
218,11,153,5,19,19,12,0,16
219,11,154,4,14,14,12,0,15
220,12,1,1,12,12,13,27,\N
221,12,2,2,3,3,13,10,5
222,12,3,3,10,10,13,30,8
223,12,4,4,13,13,13,16,\N
224,12,5,1,15,15,13,17,6
225,12,6,3,18,18,13,0,13
226,12,8,6,6,6,13,34,1
227,12,9,2,5,5,13,8,4
228,12,10,7,7,7,13,16,10
229,12,15,7,2,2,13,22,\N
230,12,16,10,11,11,13,0,11
